,Hour,LCA_Score,db
0,0,0.00023546,DK_dynamic_mix_hour_0
1,1,0.00097539,DK_dynamic_mix_hour_1
2,2,0.000186131,DK_dynamic_mix_hour_2
3,3,0.000673856,DK_dynamic_mix_hour_3
4,4,0.000927936,DK_dynamic_mix_hour_4
5,5,0.00017864,DK_dynamic_mix_hour_5
6,6,0.000832813,DK_dynamic_mix_hour_6
7,7,0.001042177,DK_dynamic_mix_hour_7
8,8,0.000359812,DK_dynamic_mix_hour_8
9,9,0.000417411,DK_dynamic_mix_hour_9
10,10,0.000765385,DK_dynamic_mix_hour_10
11,11,0.000783948,DK_dynamic_mix_hour_11
12,12,0.000762112,DK_dynamic_mix_hour_12
13,13,0.000622263,DK_dynamic_mix_hour_13
14,14,0.000370973,DK_dynamic_mix_hour_14
15,15,0.000433096,DK_dynamic_mix_hour_15
16,16,0.000360291,DK_dynamic_mix_hour_16
17,17,0.00040036,DK_dynamic_mix_hour_17
18,18,0.00026481,DK_dynamic_mix_hour_18
19,19,0.001137274,DK_dynamic_mix_hour_19
20,20,0.001166934,DK_dynamic_mix_hour_20
21,21,0.001550538,DK_dynamic_mix_hour_21
22,22,0.000969784,DK_dynamic_mix_hour_22
23,23,0.000140969,DK_dynamic_mix_hour_23
,,0.015558365,
